Timestamp,Workshop,Questions,Learned,LeadersJob,JobInStem,Presentation,Comments
3/29/17 14:34,"""Scalpel, please"": The Pathway to Surgery",4,5,5,5,3,
3/29/17 14:34,It's All Fun and Games: The Coding Concepts Behind Common Games,5,5,5,5,5,Enthusiasm made me want to CODE!
3/29/17 14:34,Methods in Paleontology,4,5,4,5,5,
3/29/17 14:35,Methods in Paleontology,3,4,3,5,4,
3/29/17 14:35,Methods in Paleontology,5,5,3,4,5,
3/29/17 14:35,Methods in Paleontology,3,3,3,2,4,
3/29/17 14:35,Methods in Paleontology,3,5,3,4,4,
3/29/17 14:36,Methods in Paleontology,3,4,3,3,3,
3/29/17 14:36,Rooting into your Future,5,5,5,5,5,
3/29/17 14:36,Rooting into your Future,5,5,5,5,5,
3/29/17 14:37,Rooting into your Future,5,5,5,5,5,This was an amazing experience and I would totally do this again and recommend it.
3/29/17 14:37,Microbes! Exploring Invisible Worlds,5,5,5,5,5,
3/29/17 14:38,Microbes! Exploring Invisible Worlds,5,4,4,3,4,
3/29/17 14:38,Microbes! Exploring Invisible Worlds,5,5,5,5,5,
3/29/17 14:38,Webcomic Remix,5,5,5,5,5,
3/29/17 14:39,Webcomic Remix,5,3,5,4,5,
3/29/17 14:39,Webcomic Remix,5,5,5,5,5,Teach how to do color
3/29/17 14:40,Buggy Brouhaha,5,5,3,4,4,
3/29/17 14:40,Buggy Brouhaha,5,5,4,5,5,
3/29/17 14:41,Become a Natural with Natural Products!,4,4,3,4,5,
3/29/17 14:42,Buggy Brouhaha,5,5,5,5,5,
3/29/17 14:43,Banana DNA,4,5,4,5,5,
3/29/17 15:46,Microbes! Exploring Invisible Worlds,5,5,5,5,5,
3/29/17 15:46,Microbes! Exploring Invisible Worlds,5,5,5,5,5,
3/29/17 15:46,Microbes! Exploring Invisible Worlds,4,5,5,4,5,
3/29/17 15:47,Solar Houses,5,5,4,4,5,
3/29/17 15:47,Solar Houses,4,5,5,5,4,
3/29/17 15:47,Solar Houses,4,3,3,4,3,
3/29/17 15:47,A Sea Snail's Tales,3,5,5,5,4,
3/29/17 15:48,A Sea Snail's Tales,5,5,4,5,5,
3/29/17 15:48,A Sea Snail's Tales,3,3,2,3,4,
3/29/17 15:48,Mix it Up! A Food Experiment,5,5,5,5,5,
3/29/17 15:49,Mix it Up! A Food Experiment,4,5,5,5,5,
3/29/17 15:50,Webcomic Remix,3,5,3,3,5,
3/29/17 15:50,Webcomic Remix,3,5,4,4,5,How can I change the background of a website?
3/29/17 15:51,Webcomic Remix,3,4,3,3,4,
3/29/17 15:51,Webcomic Remix,3,5,5,5,5,
3/29/17 15:51,Rooting into your Future,3,5,5,5,5,
3/29/17 15:51,Rooting into your Future,3,5,5,5,5,
3/29/17 16:04,Rooting into your Future,3,4,4,3,4,Good job but not something I'm that interested in. I like flowers and gardening but I just don't think I could do it for a job
3/29/17 16:05,Rooting into your Future,4,5,5,5,5,
3/29/17 16:05,Microbes! Exploring Invisible Worlds,3,4,4,4,4,
3/29/17 16:06,Microbes! Exploring Invisible Worlds,5,5,3,4,5,
3/29/17 16:08,Microbes! Exploring Invisible Worlds,5,5,5,5,5,
3/29/17 16:08,Microbes! Exploring Invisible Worlds,5,5,5,4,5,
3/29/17 16:09,Microbes! Exploring Invisible Worlds,4,4,3,4,4,
3/29/17 16:09,Rooting into your Future,4,5,5,4,4,
3/29/17 16:09,Rooting into your Future,3,5,5,5,5,
3/29/17 16:10,Rooting into your Future,5,5,3,4,5,
3/29/17 16:10,Rooting into your Future,5,5,5,4,5,
3/29/17 16:10,"Glucose, Lactose, Sucrose, Oh' My!",4,5,5,4,5,
3/29/17 16:11,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,5,5,Thank you guys for helping me in the experiment. Also not getting mad when I accidentally dropped the water.. :) 
3/29/17 16:11,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,5,5,
3/29/17 16:11,Particle Detectives: Gathering Clues to the Universe,4,3,3,4,4,
3/29/17 16:11,Private Eye: Zoom in on Nature,3,4,4,5,5,
3/29/17 16:12,Particle Detectives: Gathering Clues to the Universe,5,5,3,5,5,
3/29/17 16:12,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,5,5,
3/29/17 16:13,Work-Life Balance: Architect in Residence,5,5,4,,5,
3/29/17 16:13,Work-Life Balance: Architect in Residence,5,4,3,3,4,
3/29/17 16:13,Hunting for Another Earth,1,3,2,1,4,
3/29/17 16:14,Hunting for Another Earth,4,4,3,4,4,More background information!
3/29/17 16:14,Hunting for Another Earth,3,4,3,2,1,
3/29/17 16:15,Hunting for Another Earth,5,5,3,5,5,
3/29/17 16:16,Hunting for Another Earth,5,5,3,5,5,
3/29/17 16:16,Bird Bugs: Avian Pathogen Identification,3,5,4,3,3,
3/29/17 16:16,Bird Bugs: Avian Pathogen Identification,5,5,5,4,5,
3/29/17 16:17,Bird Bugs: Avian Pathogen Identification,3,4,1,3,3,
3/29/17 16:17,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,5,5,
3/29/17 16:17,"Glucose, Lactose, Sucrose, Oh' My!",4,3,3,2,5,
3/29/17 16:18,"Glucose, Lactose, Sucrose, Oh' My!",5,5,4,4,5,
3/29/17 16:19,"Glucose, Lactose, Sucrose, Oh' My!",5,5,4,4,5,
3/29/17 16:19,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,5,5,
3/29/17 16:19,Particle Detectives: Gathering Clues to the Universe,5,5,5,5,5,
3/29/17 16:24,Particle Detectives: Gathering Clues to the Universe,5,5,4,4,5,
3/29/17 16:25,Particle Detectives: Gathering Clues to the Universe,5,5,3,5,5,
3/29/17 16:25,Particle Detectives: Gathering Clues to the Universe,5,4,4,2,4,
3/29/17 16:25,Particle Detectives: Gathering Clues to the Universe,5,5,5,5,5,
3/29/17 16:27,Private Eye: Zoom in on Nature,5,5,2,2,5,
3/29/17 16:26,Private Eye: Zoom in on Nature,5,5,5,5,5,
3/29/17 16:26,Private Eye: Zoom in on Nature,5,5,5,5,5,very fun!!
3/29/17 16:26,Private Eye: Zoom in on Nature,5,5,5,5,5,
3/29/17 16:27,Hunting for Another Earth,4,4,5,5,5,
3/29/17 16:28,"""Scalpel, please"": The Pathway to Surgery",3,3,2,3,3,
3/29/17 16:27,"""Scalpel, please"": The Pathway to Surgery",5,5,5,5,5,Make it more realistic but also with simple skills
3/29/17 16:28,Banana DNA,3,5,4,4,5,"I think this workshop is cool and fun, I especially liked the chocolate the workshop leaders gave me"
3/29/17 16:28,Banana DNA,4,5,4,5,5,
3/29/17 16:29,Banana DNA,4,4,4,5,5,
3/29/17 16:29,"""Scalpel, please"": The Pathway to Surgery",4,5,3,4,5,
3/29/17 16:29,It's All Fun and Games: The Coding Concepts Behind Common Games,4,5,4,3,5,
3/29/17 16:29,It's All Fun and Games: The Coding Concepts Behind Common Games,5,5,1,5,5,
3/29/17 16:30,It's All Fun and Games: The Coding Concepts Behind Common Games,4,4,4,3,4,
3/29/17 16:30,It's All Fun and Games: The Coding Concepts Behind Common Games,3,4,3,4,4,
3/29/17 16:30,"""Scalpel, please"": The Pathway to Surgery",5,4,5,5,5,
3/29/17 16:30,"""Scalpel, please"": The Pathway to Surgery",3,5,5,5,5,
3/29/17 16:31,"""Scalpel, please"": The Pathway to Surgery",5,2,2,2,4,"To be honest the activities were kinda boring compared to my other classes, bt the cool stickers the workshop leaders gave me made this class worth it"
3/29/17 16:32,"""Scalpel, please"": The Pathway to Surgery",5,5,5,5,5,
3/29/17 16:35,"""Scalpel, please"": The Pathway to Surgery",4,5,5,5,4,
3/29/17 16:40,"""Scalpel, please"": The Pathway to Surgery",4,4,5,5,4,
3/29/17 16:40,It's All Fun and Games: The Coding Concepts Behind Common Games,4,3,3,4,5,
3/29/17 16:41,It's All Fun and Games: The Coding Concepts Behind Common Games,5,5,4,5,5,
3/29/17 16:41,It's All Fun and Games: The Coding Concepts Behind Common Games,3,4,5,4,5,
3/29/17 16:41,It's All Fun and Games: The Coding Concepts Behind Common Games,4,4,4,5,5,
3/29/17 16:42,It's All Fun and Games: The Coding Concepts Behind Common Games,4,5,4,4,5,
3/29/17 16:42,It's All Fun and Games: The Coding Concepts Behind Common Games,5,4,4,3,5,"Have more red sunglasses (I really wanted a red one), I really liked the dolphin"
3/29/17 16:42,Banana DNA,5,5,5,5,5,
3/29/17 16:43,Banana DNA,5,5,4,,5,
3/29/17 16:43,Banana DNA,4,5,4,4,5,
3/29/17 16:43,Banana DNA,5,5,4,5,4,
3/29/17 16:44,Banana DNA,5,5,5,5,5,You should use many other fruits and veggies!
3/29/17 16:44,Banana DNA,3,5,5,4,5,
3/29/17 16:44,Mix it Up! A Food Experiment,5,5,5,5,5,
3/29/17 16:45,Mix it Up! A Food Experiment,5,3,5,5,5,"I liked it when we did the experiment with the vinegar, mustard, tomato paste, etc"
3/29/17 16:45,Mix it Up! A Food Experiment,4,4,4,4,4,
3/29/17 16:47,Mix it Up! A Food Experiment,5,5,5,5,5,
3/29/17 16:47,Mix it Up! A Food Experiment,5,4,4,4,5,
3/29/17 16:47,A Sea Snail's Tales,5,5,3,3,5,
3/29/17 16:48,A Sea Snail's Tales,4,4,4,4,5,How do snails drill holes into the barnacles?
3/29/17 16:48,A Sea Snail's Tales,4,3,2,3,4,
3/29/17 16:48,A Sea Snail's Tales,4,3,3,3,4,
3/29/17 16:49,A Sea Snail's Tales,2,4,3,3,4,
3/29/17 16:50,Solar Houses,5,4,3,4,5,
3/29/17 16:50,Solar Houses,3,3,2,3,2,
3/29/17 16:50,A Sea Snail's Tales,5,5,4,4,5,
3/29/17 16:50,Mix it Up! A Food Experiment,5,5,5,5,5,
3/29/17 16:51,Solar Houses,4,5,4,4,4,
3/29/17 16:51,Solar Houses,3,4,4,3,3,
3/29/17 16:51,Solar Houses,3,5,3,2,5,
3/29/17 16:52,Solar Houses,3,5,4,2,3,
3/29/17 16:52,A Sea Snail's Tales,3,5,3,4,5,
3/29/17 16:52,A Sea Snail's Tales,5,5,5,5,5,
3/29/17 16:52,A Sea Snail's Tales,3,4,4,4,4,
3/29/17 16:53,A Sea Snail's Tales,5,3,4,3,5,
3/29/17 16:53,A Sea Snail's Tales,5,5,5,5,5,
3/29/17 16:53,Solar Houses,4,5,5,5,5,
3/29/17 16:53,Solar Houses,5,5,5,5,5,
3/29/17 16:53,Solar Houses,5,5,3,3,5,
3/29/17 16:54,Solar Houses,4,4,4,4,4,
3/29/17 16:54,Solar Houses,5,5,5,5,5,
3/29/17 16:54,Mix it Up! A Food Experiment,4,5,4,4,5,
3/29/17 19:02,Particle Detectives: Gathering Clues to the Universe,4,5,3,4,5,
3/29/17 19:02,Particle Detectives: Gathering Clues to the Universe,5,5,5,5,4,
3/29/17 19:03,Particle Detectives: Gathering Clues to the Universe,4,5,3,5,5,
3/29/17 19:03,Particle Detectives: Gathering Clues to the Universe,3,4,5,3,4,
3/29/17 19:04,Particle Detectives: Gathering Clues to the Universe,5,5,3,5,5,
3/29/17 19:05,"Glucose, Lactose, Sucrose, Oh' My!",3,5,5,4,5,
3/29/17 19:05,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,5,5,
3/29/17 19:05,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,5,5,
3/29/17 19:05,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,4,5,
3/29/17 19:06,Rooting into your Future,5,5,5,5,5,
3/29/17 19:06,Rooting into your Future,5,5,5,5,5,
3/29/17 19:06,Rooting into your Future,5,5,5,5,5,
3/29/17 19:07,Webcomic Remix,3,5,4,4,5,
3/29/17 19:07,Webcomic Remix,5,5,3,5,5,
3/29/17 19:07,Webcomic Remix,3,5,5,5,5,
3/29/17 19:08,Microbes! Exploring Invisible Worlds,5,5,4,5,5,
3/29/17 19:08,Microbes! Exploring Invisible Worlds,5,5,4,5,5,
3/29/17 19:08,Microbes! Exploring Invisible Worlds,5,3,1,3,2,
3/29/17 19:08,Work-Life Balance: Architect in Residence,5,5,5,5,5,
3/29/17 19:11,Work-Life Balance: Architect in Residence,5,5,4,3,4,
3/29/17 19:12,Work-Life Balance: Architect in Residence,3,4,3,2,5,
3/29/17 19:12,Work-Life Balance: Architect in Residence,5,4,3,5,4,
